State,Abbreviation,Number of NFL Teams
Alabama,AL,0
Alaska,AK,0
Arizona,AZ,1
Arkansas,AR,0
California,CA,4
Colorado,CO,1
Connecticut,CT,0
Delaware,DE,0
Florida,FL,3
Georgia,GA,1
Hawaii,HI,0
Idaho,ID,0
Illinois,IL,1
Indiana,IN,1
Iowa,IA,0
Kansas,KS,0
Kentucky,KY,0
Louisiana,LA,1
Maine,ME,0
Maryland,MD,2
Massachusetts,MA,1
Michigan,MI,1
Minnesota,MN,1
Mississippi,MS,0
Missouri,MO,1
Montana,MT,0
Nebraska,NE,0
Nevada,NV,0
New Hampshire,NH,0
New Jersey,NJ,2
New Mexico,NM,0
New York,NY,1
North Carolina,NC,1
North Dakota,ND,0
Ohio,OH,2
Oklahoma,OK,0
Oregon,OR,0
Pennsylvania,PA,2
Rhode Island,RI,0
South Carolina,SC,0
South Dakota,SD,0
Tennessee,TN,1
Texas,TX,2
Utah,UT,0
Vermont,VT,0
Virginia,VA,0
Washington,WA,1
West Virginia,WV,0
Wisconsin,WI,1
Wyoming,WY,0
